Jahr;Bundesland;gesamt;Jänner;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;Population
2018;Oberösterreich     ;2 470;193;190;241;206;227;209;221;164;176;224;198;221;1477752
2018;Salzburg           ;907;75;55;77;77;75;81;91;56;65;101;69;85;553930
2018;Steiermark         ;2 124;201;173;198;168;175;169;185;174;154;177;178;172;1241228
2018;Tirol              ;1 159;81;81;108;96;103;94;120;94;72;104;109;97;752262
2018;Vorarlberg         ;724;49;67;58;66;62;66;68;51;45;67;56;69;393025
2018;Wien               ;4 130;352;330;360;365;359;374;316;247;352;393;365;317;1892150
2019;Österreich;16 319;1 304;1 219;1 460;1 436;1 382;1 239;1 279;1 129;1 491;1 546;1 440;1 394;8877637
2019;Burgenland         ;521;25;50;45;43;50;39;49;30;45;51;45;49;293861
2019;Kärnten            ;1 023;104;66;75;106;71;76;89;89;68;105;89;85;561062
2019;Niederösterreich   ;3 337;257;220;315;320;285;262;232;237;343;303;273;290;1680588
2019;Oberösterreich     ;2 542;157;222;217;219;216;194;201;181;234;223;261;217;1486141
2019;Salzburg           ;966;89;86;68;82;92;74;69;67;89;94;79;77;556627
2019;Steiermark         ;2 093;163;125;192;187;163;131;194;151;216;196;197;178;1244474
2019;Tirol              ;1 139;71;83;124;90;102;78;81;103;80;120;91;116;755695
2019;Vorarlberg         ;751;56;73;59;55;71;64;68;57;51;75;63;59;395949
2019;Wien               ;3 947;382;294;365;334;332;321;296;214;365;379;342;323;1903240
2020;Österreich;14 870;1 266;1 282;877;137;1 237;1 484;1 634;1 121;1 498;1 502;1 358;1 474;8916845
2020;Burgenland         ;472;38;41;20;2;36;47;56;41;46;48;44;53;295098
2020;Kärnten            ;947;106;78;60;16;81;75;111;75;83;89;79;94;561647
2020;Niederösterreich   ;3 085;244;267;148;27;259;296;344;222;323;342;301;312;1687651
2020;Oberösterreich     ;2 307;199;205;151;21;228;213;237;174;236;214;183;246;1493377
2020;Salzburg           ;906;71;87;47;7;73;105;114;62;94;82;91;73;559543
2020;Steiermark         ;2 005;195;145;132;23;130;203;231;181;196;186;177;206;1247030
2020;Tirol              ;1 023;78;96;61;19;72;111;103;80;84;96;102;121;758901
2020;Vorarlberg         ;686;44;66;59;2;59;57;69;58;58;86;56;72;398443
2020;Wien               ;3 439;291;297;199;20;299;377;369;228;378;359;325;297;1915155
2021;Österreich;14 510;1 083;1 143;1 490;1 248;1 290;1 307;1 150;954;1 182;1 172;1 245;1 246;8951520
2021;Burgenland         ;443;45;25;45;31;41;31;41;26;37;55;41;25;296704
2021;Kärnten            ;920;83;78;74;68;85;81;67;66;88;67;83;80;563176
2021;Niederösterreich   ;2 845;202;223;298;232;248;253;250;188;246;198;249;258;1695013
2021;Oberösterreich     ;2 232;186;180;227;205;197;196;197;127;168;165;179;205;1500043
